caseId,description,landmark
1956-129,Obscene material is not protected by the First Amendment (superseded by Miller v. California (1973)).,L
1990-054,"Originality, not sweat of the brow, is required for a work to obtain copyright protection.",L
1987-035,"Parodies of public figures, including those intended to cause emotional distress, are protected by the First Amendment.",L
1961-010,Peaceful sit-in demonstrators protesting segregationist policies cannot be arrested under a state&apos;s &quot;disturbing the peace&quot; laws.,L
1972-179,"Plaintiffs were federally registered resident aliens. They sued when, because of their alienage, they were discharged from their competitive civil service positions with New York City. Respondents challenged the constitutionality of N.Y. Civil Service Law _ 53, which denied all aliens the right to hold positions in New York&apos;s classified competitive civil service. Respondents sought a declaration that the statute was invalid under U.S. Constitution amendments I and XIV, injunctive relief, and damages for lost earnings. The Court affirmed the lower court&apos;s decision and determined that aliens as a class were a prime example of a discrete and insular minority. Classifications based on alienage were subject to close judicial scrutiny. The Court looked to the substantially of the state&apos;s interest in enforcing the statute and to the narrowness of the limits within which the discrimination was confined. The Court concluded that _ 53 was unconstitutional.",
2005-042,Police cannot conduct a warrantless search in a home where one occupant consents and the other objects.,L
1967-157,Police may stop a person if they have a reasonable suspicion that the person has committed or is about to commit a crime and frisk the suspect for weapons if they have a reasonable suspicion that the suspect is armed and dangerous without violating the Fourth Amendment.,L
1965-122,"Police must advise criminal suspects of their rights under the Constitution to remain silent, to consult with a lawyer, and to have one appointed to them if they are indigent. A police interrogation must stop if the suspect states that he or she wishes to remain silent.",L
2013-065,Police must obtain a warrant in order to search digital information on a cell phone seized from an individual who has been arrested.,L
1999-077,Prayer in public schools that is initiated and led by students violates the Establishment Clause.,L
1985-078,Prosecutors may not use peremptory challenges to dismiss jurors based on their race.,L
1993-035,Prosecutors may not use peremptory challenges to dismiss jurors based on their sex.,L
1987-019,Public school curricular student newspapers that have not been established as forums for student expression are subject to a lower level of First Amendment protection than independent student expression or newspapers established by policy or practice as forums for student expression.,L
1968-043,"Public school students have free speech rights under the First Amendment. Therefore, wearing armbands as a form of protest on public school grounds qualifies as protected symbolic speech.",L
1994-069,"Race-based discrimination, including discrimination in favor of minorities (affirmative action), must pass strict scrutiny.",L
1977-147,Race-based set-asides in educational opportunities violate the Equal Protection Clause. This decision leaves the door open for the possibility of some use of race in admission decisions.,L
1960-016,Racial segregation in all forms of public transportation is illegal under the Interstate Commerce Act of 1887.,L
1953-069,"Racial segregation in public schools is declared unconstitutional by the United States Supreme Court in Brown vs. the Board of Education. The ruling of the court stated that racial segregation violated the 14th Amendment&apos;s clause that guaranteed equal protection. The Monroe School in Topeka, Kansas had segregated Linda Brown in its classes.",
1994-087,Schools may implement random drug testing upon students participating in school-sponsored athletics.,L
1992-114,Scientific evidence that is admitted in federal court must be valid and relevant to the case at hand.,L
1947-091,"South Carolina_required state residents to pay a $25-per-boat license fee to gather shrimp in state waters; for nonresidents, the fee was $2,500. The Supreme Court, speaking through_Chief Justice_fred m. vinson, held that this discrimination violated both the privileges and immunities clause of Article IV and the commerce clause. (See state regulation of commerce.) The commerce ground was easy and unanimously supported by the Justices. The decision&apos;s main importance lay in its approach to the privileges and immunities clause; on this issue the Court divided, 6_3. Earlier decisions had suggested that the clause protected only &quot;fundamental rights.&quot;_Toomer_redirected the inquiry: discrimination against nonresidents was permissible only if it bore a substantial relation to solving a problem distinctively presented by nonresidents._South Carolina&apos;s discriminatory tax failed this test.",
1958-025,State courts do not have jurisdiction on Indian reservations without the authorization of Congress.,L
1967-159,Taxpayers have standing to sue to prevent the disbursement of federal funds in contravention of the specific constitutional prohibition against government support of religion.,L
1975-175,Texas&apos;s new death penalty statute is constitutional because it uses a three-part test to determine if a death sentence should be imposed.,L
1965-132,The application of the Fourth Amendment&apos;s protection against warrantless searches and the Fifth Amendment privilege against self incrimination to searches that intrude into the human body means that police may not conduct warrantless blood testing on suspects absent an emergency that justifies acting without a warrant.,L
1970-082,The busing of students to promote racial integration in public schools is constitutional.,L
1964-017,The Civil Rights Act of 1964 applies to places of public accommodation patronized by interstate travelers by reason of the Commerce Clause.,L
1963-052,"The Constitution requires that the members of the House of Representatives be selected from districts composed, as nearly as is practicable, of equal population.",L
2005-018,The Controlled Substances Act does not prevent physicians from being able to prescribe the drugs needed to perform assisted suicides under state law.,L
1967-033,"The court ruled that the United States government cannot deprive the people of constitutional rights, even in the interests of national security. Specifically, the right of free association. The petitioner, Eugene Frank Robel, who worked at Todd Shipyards in Seattle, was indicted in May 21, 1963 for being a member of the Communist Party of the United States (CPUSA) and thus affiliated with it, without being registered with the Subversive Activities Control Board in violation of the McCarran Internal Security Act section 5 (a) (I) (D). Since the act required CPUSA to register as a Communist Party, he was told because of his affiliation with the Party, he also had to register as well, and that he could no longer work at the shipyard because of his affiliation with the Communist Party; Todd Shipyards had been designated a &quot;defense&quot; facility, otherwise known as federal employment, which was illegal under the McCarran Act. Robel appealed his conviction to the Supreme Court. The Court found the McCarran Internal Security Act violates the defendant&apos;s right to free association that is guaranteed by the First Amendment.",
1973-172,"The doctrine of executive privilege is legitimate; however, the President cannot invoke it in criminal cases to withhold evidence.",L
1985-010,The Double Jeopardy Clause of the Fifth Amendment does not prohibit two different states from separately prosecuting and convicting the same individual for the same illegal act.,L
2014-071,"The Eighth Amendment requires prisoners to show 1.) there is a known and available alternative method of execution and 2.) the challenged method of execution poses a demonstrated risk of severe pain, with the burden of proof resting on the prisoners, not the state.",L
2014-061,The Environmental Protection Agency must consider costs when it regulates power plants under the Clean Air Act.,L
2003-085,The federal court system has the authority to decide if foreign nationals held at Guantanamo Bay were wrongfully imprisoned.,L
2003-086,"The federal government has the power to detain those it designates as enemy combatants, including United States citizens, but detainees that are United States citizens must have the rights of due process and the ability to challenge their enemy combatant status before an impartial authority.",L
1967-181,The federal government may prohibit discrimination in housing by private parties under the Civil Rights Act of 1968.,L
1970-145,The federal government&apos;s desire to keep the Pentagon Papers classified is not strong enough to justify violating the First Amendment by imposing prior restraints on the material.,L
1985-160,The First Amendment permits a public school to punish a student for giving a lewd and indecent speech at a school assembly even if the speech is not obscene.,L
1973-162,"The First Amendment permits the states to formulate their own standards of liability for defamation against private individuals as long as liability is not imposed without fault. If the state standard is lower than actual malice, then only actual damages may be awarded.",L
1970-121,The First Amendment prohibits the states from making the public display of a single four-letter expletive a criminal offense without a more specific and compelling reason than a general tendency to disturb the peace.,L
1976-025,The first case in which a majority of the United States Supreme Court determined that statutory or administrative sex classifications were subject to intermediate scrutiny under the Fourteenth Amendment&apos;s Equal Protection Clause.,L
2014-070,The Fourteenth Amendment requires a state to license a marriage between two people of the same sex with all the accompanying rights and responsibilities and to recognize a marriage between two people of the same sex when their marriage was lawfully licensed and performed out-of-state.,L
1967-043,The Fourth Amendment&apos;s ban on unreasonable searches and seizures applies to all places where an individual has a &quot;reasonable expectation of privacy.&quot;,L
1984-022,"The Fourth Amendment&apos;s ban on unreasonable searches applies to those conducted by public school officials as well as those conducted by law enforcement personnel, but public school officials can use the less strict standard of reasonable suspicion instead of probable cause.",L
1971-041,"The Free Petition Clause encompasses petitions to all three branches of the federal government the Congress, the executive including administrative agencies and the judiciary.",L
1962-052,The Free Petition Clause extends to the states through the Due Process Clause of the Fourteenth Amendment.,L
1957-146,The freedom to associate with organizations dedicated to the &quot;advancement of beliefs and ideas&quot; is an inseparable part of the Due Process Clause of the Fourteenth Amendment.,L
1997-051,The International Court of Justice does not have jurisdiction in capital punishment cases that involve foreign nationals.,L
1949-093,The Interstate Commerce Act of 1887 makes it unlawful for a railroad that engages in interstate commerce to subject any particular person to any undue or unreasonable prejudice or disadvantage in any respect whatsoever.,L
1947-092,The issue at hand was a restrictive law in California requiring American citizenship to get a fishing license. The Court held that this was an unreasonable restriction and was discriminatory to residents of Japanese ancestry.,
2005-086,The military commissions set up by the Bush administration to try detainees at Guantanamo Bay are illegal because they lack the protections that are required by the Geneva Conventions and the Uniform Code of Military Justice.,L
2006-031,"The Partial-Birth Abortion Ban Act of 2003 is constitutional because it is less ambiguous than the law that was struck down in Stenberg. It is not vague or overbroad, and it does not impose an undue burden on a woman&apos;s right to choose to have an abortion.",L
2011-077,"The Patient Protection and Affordable Care Act&apos;s expansion of Medicaid is unconstitutional as-written it is unduly coercive to force the states to choose between participating in the expansion or forgoing all Medicaid funds. In addition, the individual health insurance mandate is constitutional by virtue of the Taxing and Spending Clause (though not by the Commerce Clause or the Necessary and Proper Clause).",L
1964-018,The power of Congress to regulate interstate commerce extends to a restaurant that is not patronized by interstate travelers but which serves food that has moved in interstate commerce. This ruling makes the Civil Rights Act of 1964 apply to virtually all businesses.,L
1951-088,The President cannot seize private property in the absence of either specifically enumerated authority under the Constitution or statutory authority given to him or her by Congress.,L
1996-059,The President has no immunity that could require civil law litigation against him or her involving a dispute unrelated to the office of President to be stayed until the end of his or her term. Such a delay would deprive the parties to the suit of the right to a speedy trial that is guaranteed by the Sixth Amendment.,L
1971-175,"The privileges of the Constitution&apos;s Speech or Debate Clause enjoyed by members of Congress also extend to Congressional aides, but not to activity outside the legislative process.",L
1968-035,"The question in the case was &quot;whether the City of Akron, Ohio, has denied [a black citizen] the equal protection of its laws by amending the city charter to prevent the city council from implementing any ordinance dealing with racial, religious, or ancestral discrimination in housing without the approval of the majority of the voters of Akron.&quot;",
2000-009,"The recount of ballots in Florida during the 2000 presidential election violated the Equal Protection Clause because different standards of counting were used in the counties that were subjected to the recount. This decision effectively resolved the election in favor of the Republican nominee, George W. Bush.",L
1961-051,"The redistricting of state legislative districts is not a political question, so it is justiciable by the federal courts.",L
2009-061,The right to remain silent does not exist unless a suspect invokes it unambiguously.,L
1957-121,The right to travel is a part of the &quot;liberty&quot; of which the citizen cannot be deprived without due process of law under the Fifth Amendment.,L
1958-002,The states are bound by the decisions of the Supreme Court and cannot choose to ignore them.,L
1974-142,The states cannot involuntarily commit individuals if they are not a danger to themselves or others and are capable of living by themselves or with the aid of responsible family members or friends.,L
1954-085,"The Supreme Court considered arguments by the schools requesting relief concerning the task of desegregation. In their decision, which became known as &quot;Brown II&quot; the court delegated the task of carrying out school desegregation to district courts with orders that desegregation occur &quot;with all deliberate speed,&quot; a phrase traceable to Francis Thompson&apos;s poem, &quot;The Hound of Heaven&quot;",
1948-074,"The Supreme Court of the United States held that a &quot;breach of peace&quot; ordinance of the City of Chicago that banned speech which &quot;stirs the public to anger, invites dispute, brings about a condition of unrest, or creates a disturbance&quot; was unconstitutional under the First and Fourteenth Amendments to the United States Constitution.",
1947-098,The Supreme Court of the United States held that an ordinance which prohibited the use of sound amplification devices except with permission of the Chief of Police was unconstitutional on its face because it established a prior restraint on the right of free speech in violation of the First Amendment.,
1980-005,"The Supreme Court of the United States ruled that a Kentucky statute was unconstitutional and in violation of the Establishment Clause of the First Amendment, because it lacked a nonreligious, legislative purpose. The statute required the posting of a copy of the Ten Commandments on the wall of each public classroom in the state. While the copies of the Ten Commandments were purchased with private funding, the Court ruled that because they were being placed in public classrooms they were in violation of the First Amendment.",
1949-066,The Supreme Court of the United States set forth the constitutional requirements for notice of judicial proceedings to a potential party under the Fourteenth Amendment to the United States Constitution.,
1953-058,The Supreme Court ruled 5-4 that a mail order reseller was not required to collect a use tax unless it had sufficient contact with the state.,
1966-090,The Supreme Court ruled that a mail order reseller was not required to collect sales tax unless it had some physical contact with the state.,
1969-062,The termination of welfare benefits must be preceded by a full evidentiary hearing under the Due Process Clause.,L
2007-031,The three-drug cocktail used for performing executions by lethal injection in Kentucky (as well as virtually all of the states using lethal injection at the time) is constitutional under the Eighth Amendment.,L
1982-103,"The totality of the circumstances, rather than a rigid test, must be used in finding probable cause under the Fourth Amendment.",L
1986-015,"The U.S. Supreme Court ruled that Massachusetts Citizens for Life, Inc. violated the Federal Election Campaign Act by distributing flyers asking voters to vote _for lifeÓ paid for with treasury funds. However, the court also ruled that the FECA section that required any spending by corporations on political campaigning to be done through political action committees (PACs) was itself a violation of the First Amendment rights of nonprofit political and ideological groups.",
1947-025,"The United States Supreme Court decided that specific provisions of the 1913 and 1920 California Alien Land Laws abridged the rights and privileges guaranteed by the Fourteenth Amendment to Fred Oyama, a citizen of the United States in whose name his father, who held Japanese citizenship, had purchased land. In doing so, however, the court did not overturn the California Alien Land Laws as unconstitutional.",
1972-083,The use of property taxes to finance public education does not violate the Equal Protection Clause.,L
1947-047,The use of public school facilities by religious organizations to give religious instruction to school children violates the Establishment Clause.,L
1965-064,The Voting Rights Act of 1965 is a valid exercise of Congress&apos;s power under Section 2 of the Fifteenth Amendment.,L
2010-023,The Westboro Baptist Church&apos;s picketing of funerals cannot be liable for a tort of emotional distress.,L
1965-083,"There is a constitutional right to travel from state to state, and the protections of the Fourteenth Amendment extend to citizens who suffer rights deprivations at the hands of private conspiracies where there is minimal state participation in the conspiracy.",L
1973-045,"There is federal subject-matter jurisdiction for possessory land claims brought by Indian tribes based upon aboriginal title, the Nonintercourse Act, and Indian treaties.",L
1974-028,"This case held that a public school must conduct a hearing before subjecting a student to suspension. Also, a suspension without a hearing violates the Due Process Clause of the Fourteenth Amendment of the US Constitution.",
1976-178,"This case held that the death penalty for rape of an adult woman was grossly disproportionate and excessive punishment, and therefore unconstitutional under the Eighth Amendment to the United States Constitution. A few states continued to have child rape statutes that authorized the death penalty. In Kennedy v. Louisiana (2008), the court expanded Coker, ruling that the death penalty is unconstitutional in all cases that do not involve murder or crimes against the State.",L
2006-014,"This case held that the rule first announced in Apprendi v. New Jersey, 530 U.S. 466 (2000), applies to California&apos;s Determinate Sentencing Law. In California, a judge may choose one of three sentences for a crime a low, middle, or high term. There must exist specific aggravating factors about the crime before a judge may impose the high term. Under the Apprendi rule, as explained in Blakely v. Washington, 542 U.S. 296 (2004), any fact that increases the punishment above that which the judge may impose without that fact must be found by a jury beyond a reasonable doubt. In People v. Black, the California Supreme Court rejected the argument that under Blakely, the jury must find the additional facts necessary for the judge to impose the high term under the DSL. In Cunningham, the U.S. Supreme Court overruled Black, ruling that Blakely applies to California&apos;s determinate sentencing scheme.",
2003-080,"This case held that, in the context of mandatory sentencing guidelines under state law, the Sixth Amendment right to a jury trial prohibited judges from enhancing criminal sentences based on facts other than those decided by the jury or admitted by the defendant. The landmark nature of the case (for good or ill) was alluded to by Justice Sandra Day O&apos;Connor, who &quot;described the Court&apos;s decision as a &apos;Number 10 earthquake.",L
2005-081,"This case is a decision by the Supreme Court of the United States involving a Vermont law which placed a cap on financial donations made to politicians. The court ruled that Vermont&apos;s law, the strictest in the nation, unconstitutionally hindered the citizens&apos; First Amendment right to free speech. A key issue in the case was the 1976 case Buckley v. Valeo, which many justices felt needed to be revisited.",
1963-159,"This case is an in rem United States Supreme Court decision on First Amendment questions relating to the forfeiture of obscene material. By a 7_2 margin, the Court held that a seizure of the books was unconstitutional, since no hearing had been held on whether the books were obscene, and it reversed a Kansas Supreme Court decision that upheld the seizure.",
1949-084,"This case successfully challenged the &quot;separate but equal&quot; doctrine of racial segregation established by the 1896 case Plessy v. Ferguson. The case was influential in the landmark case of Brown v. Board of Education four years later. The case involved a black man, Heman Marion Sweatt, who was refused admission to the School of Law of the University of Texas, whose president was Theophilus Painter, on the grounds that the Texas State Constitution prohibited integrated education.",
1999-081,"This case upheld the requirement that the Miranda warning be read to criminal suspects and struck down a federal statute that purported to overrule Miranda v. Arizona (1966). The Court noted that neither party in the case advocated on behalf of the constitutionality of 18 U.S.C. _ 3501, the specific statute at issue in the case. Accordingly, it invited Paul Cassell, a former law clerk to Antonin Scalia and Warren E. Burger, to argue that perspective. Cassell was then a professor at the University of Utah law school; he was later appointed to, and subsequently resigned from, a federal district court judgeship in that state.",
2009-049,"This case was a decision by the Supreme Court of the United States holding that juvenile offenders cannot be sentenced to life imprisonment without parole for non-homicide offenses. In June 2012, in the related Miller v. Alabama, the Court ruled that mandatory sentences for life without parole for juvenile offenders, even in cases of murder, was cruel and unusual punishment in violation of the Eighth Amendment to the United States Constitution.",L
2005-048,"This case was a decision by the Supreme Court of the United States involving the due process requirement that a state give notice to an owner before selling his property to satisfy his unpaid taxes. The Court ruled, 5-3, that after a mailed notice was returned unclaimed, a state was required by the Due Process Clause of the Fourteenth Amendment to take additional reasonable steps to notify the owner before the sale could proceed. The Court&apos;s opinion was delivered by Chief Justice John G. Roberts, his fourth majority opinion after his confirmation to the Court in 2005 and his first to provoke any dissenting opinions.",
2007-053,"This case was a writ of habeas corpus submission made in a civilian court of the United States on behalf of Lakhdar Boumediene, a naturalized citizen of Bosnia and Herzegovina, held in military detention by the United States at the Guantanamo Bay detention camps in Cuba. Guantanamo Bay is not formally part of the United States, and under the terms of the 1903 lease between the United States and Cuba, Cuba retained ultimate sovereignty over the territory, while the United States exercises complete jurisdiction and control. The case was consolidated with habeas petition Al Odah v. United States. It challenged the legality of Boumediene&apos;s detention at the United States Naval Station military base in Guantanamo Bay, Cuba as well as the constitutionality of the Military Commissions Act of 2006. Oral arguments on the combined cases were heard by the Supreme Court on December 5, 2007.",L
1996-044,"This was a case before the United States Supreme Court concerning the Constitutionality under the Fourth Amendment of a state statute requiring drug tests of all candidates for certain state offices. The case is notable as being the only one in recent years where the Supreme Court has upheld a challenge to a ballot access restriction from members of a third party, in this case the Libertarian Party of Georgia.",
1987-102,"This was an important decision by the United States Supreme Court on paid petition circulation. Colorado was one of several states with a process for citizens to propose initiatives for the ballot, which if passed became law. One of the requirements was to get the signatures of a significant number of registered Colorado electors. Colorado prohibited initiative sponsors from paying for the circulation of these petitions. The state argued this was necessary to &quot;protect[...] the integrity of the initiative.&quot;",
1987-153,"This was the first case since the moratorium on capital punishment was lifted in the United States in which the U.S. Supreme Court overturned the death sentence of a minor on grounds of &quot;cruel and unusual punishment.&quot; The holding in Thompson was expanded on by Roper v. Simmons (2005), where the Supreme Court extended the &quot;evolving standards&quot; rationale to those under 18 years old.",
1994-051,"This was the first United States Supreme Court case since the New Deal to set limits to Congress&apos; power under the Commerce Clause of the United States Constitution. The Supreme Court held that the federal Gun-Free School Zones Act of 1990, which banned possession of handguns near schools, was unconstitutional because it did not have a substantial impact on interstate commerce. After the Lopez decision, the act was amended to specifically only apply to guns that had been moved via interstate commerce.",L
1972-158,"To be obscene, a work must fail the Miller test, which determines if it has any &quot;serious literary, artistic, political, or scientific value.&quot;",L
1983-091,"To obtain relief due to ineffective assistance of counsel, a criminal defendant must show that counsel&apos;s performance fell below an objective standard of reasonableness and that counsel&apos;s deficient performance gives rise to a reasonable probability that, if counsel had performed adequately, the result of the proceeding would have been different.",L
1962-002,"Trying citizens in military courts is unconstitutional when civilian courts are still operating. Trial by military tribunal is constitutional only when there is no power left but the military, and the military may validly try criminals only as long as is absolutely necessary.",L
1948-102,"Two out-of-state corporations objected to ad valorem taxes imposed upon accounts receivable derived from goods manufactured in Ohio, though these accounts were not used in conducting business in Ohio. The court ruled that the tax violated the Equal Protection Clause of the 14th Amendment.",
1954-005,Under the Fifth Amendment&apos;s Takings Clause private property can be taken for a public purpose with just compensation.,L
1956-103,"United States citizens abroad, even when associated with the military, cannot be deprived of the protections of the Constitution and cannot be made subject to military jurisdiction.",L
1950-089,"United States Supreme Court_case relating to_Eugene Dennis,_General Secretary_of the_Communist Party USA. The Court ruled that Dennis did not have the right under the_First Amendment to the United States Constitution_to exercise free speech, publication and assembly, if the exercise involved the creation of a plot to overthrow the government.",
1996-091,Washington State&apos;s prohibition on assisted suicide is constitutional.,L
1989-126,"When a family has requested the termination of life-sustaining treatments for their vegetative relative, the state may constitutionally oppose this request if there is a lack of evidence of a clear earlier wish by said relative.",L
1969-120,"When a juvenile is charged with an act that would be a crime if committed by an adult, every element of the offense must be proved beyond reasonable doubt, not preponderance of the evidence. The case has come to stand for a broader proposition, however: in a criminal prosecution, every essential element of the offense must be proved beyond reasonable doubt.",
1975-035,"When procedural due process applies, courts must consider the government&apos;s interests, the individual&apos;s interests, and the likelihood of making an inaccurate decision using the existing procedures as well as the probable value of additional procedural safeguards.",L
1990-117,"While nude dancing is a form of expressive conduct, public indecency laws regulating or prohibiting nude dancing are constitutional because they further substantial governmental interests in maintaining order and protecting morality.",L
